DER,Energy Rating (kWh),Charge Rating (kW),Discharge Rating (kW),Round Trip Efficiency (%),Lower Limit on SOC (%),Upper Limit on SOC (%),Duration (hours),Capital Cost ($),Capital Cost ($/kW),Capital Cost ($/kWh),Power Capacity (kW)
bess 1,500.0,250.0,250.0,91.0,0.0,100.0,2.0,0.0,550.0,180.0,
Site Load,,,,,,,0.0,,,,0.0
